itemid,citation,creatorid,creator,title,birth_year,death_year,category,creation_date
75551,"Purrmann, Hans.",2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75551,<em>Henri Matis,2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75551,"Flam, Jack D. <",2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75551,<em>Masters of ,2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75551,"Dauberville, Gu",2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75551,“A Historic Gif,2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75551,"Brown, Heather ",2130,Henri Matisse (,Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
75763,Lefevre Galleri,22965,Maurice Denis (,Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
75763,Musée de l'Ora,22965,Maurice Denis (,Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
75763,<em>Maurice Den,22965,Maurice Denis (,Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
75763,"Berès, Anisabe",22965,Maurice Denis (,Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
75763,Musée des Beaux,22965,Maurice Denis (,Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
75763,"Cogeval, Guy, C",22965,Maurice Denis (,Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
78982,"Müller, Franz ",65625,Johann König (G,The Resurrection of Christ,1586,1642,P - German before 1800,1622
78982,"Frimmel, Theodo",65625,Johann König (G,The Resurrection of Christ,1586,1642,P - German before 1800,1622
78982,"Wieseman, Marjo",65625,Johann König (G,The Resurrection of Christ,1586,1642,P - German before 1800,1622
78982,"Wieseman, Marjo",65625,Johann König (G,The Resurrection of Christ,1586,1642,P - German before 1800,1622
84662,Musée Toulouse,22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,Angers. <em>Mau,22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,"Distel, Anne. <",22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,<em>Maurice Den,22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,"Welsh-Ovcharov,",22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,"Welsh-Ovcharov,",22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,"Janin-Juvigny, ",22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,<em>Le chemin d,22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,"Tuchman, Mauric",22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,Musée des Beau,22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
84662,"Thomson, Belind",22965,Maurice Denis (,The Orange Christ,1870,1943,Mod Euro - Painting 1800-1960,1889
86110,"Cunningham, Mic",11294,Sesshū Tōyō (Ja,"Sunset Glow over a Fishing Village, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s–1550s
86110,<em>Sesshū: bo,11294,Sesshū Tōyō (Ja,"Sunset Glow over a Fishing Village, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s–1550s
86110,"Longhi, Leighto",11294,Sesshū Tōyō (Ja,"Sunset Glow over a Fishing Village, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s–1550s
86111,"Cunningham, Mic",11294,Sesshū Tōyō (Ja,"Returning Sails off a Distant Shore, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s to 1550s
86111,<em>Sesshū: bo,11294,Sesshū Tōyō (Ja,"Returning Sails off a Distant Shore, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s to 1550s
86111,"Longhi, Leighto",11294,Sesshū Tōyō (Ja,"Returning Sails off a Distant Shore, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s to 1550s
87871,"Brown, Heather ",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Grad, Bonnie Le",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Greenberg, Clem",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Kaufman, Louis.",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Kramer, Hilton.",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,<em>Milton Aver,3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Mullins, Edwin.",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Kramer, Hilton.",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
87871,"Breeskin, Adely",3366,Milton Avery (A,Blue Bay,1885,1965,American - Painting,1960
88940,"Isarlov, George",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Zervos, Christi",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Cooper, Douglas",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,Palais de Beaul,3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Hoog, Michel et",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Pouillon, Nadin",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Freeman, Judi. ",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"""A Historic Gif",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,“A Historic Gif,3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Griswold, Willi",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
88940,"Brown, Heather ",3029,Georges Braque ,"The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
90249,"Ishikawa, Jun 石",,,,,,,
90249,"Suzuki, Kei. <e",,,,,,,
90249,"Ahn, Hwi-joon. ",,,,,,,
90249,"Cunningham, Mic",,,,,,,
90249,"Hong, Sun-pyo. ",,,,,,,
90249,"Hong, Sun-pyo a",,,,,,,
90249,"Jungmann, Burgl",,,,,,,
90249,<em>Treasures f,,,,,,,
90249,"MCormick, Sooa ",,,,,,,
90249,"McCormick, Sooa",,,,,,,
90249,"McCormick, Sooa",,,,,,,
90249,"Ch'a, Mi-rae, K",,,,,,,
90249,"Chang, Chin-Sun",,,,,,,
90249,The Overseas Ko,,,,,,,
90249,Jung-Jae Conser,,,,,,,
90249,"""Permanent Coll",,,,,,,
90249,"""Permanent Coll",,,,,,,
90541,"Zervos, Christi",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,<em>Picasso</em,2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Penrose, Roland",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Penrose, Roland",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Lieberman, Will",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Weisner, Ulrich",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Chipp, Herschel",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Palau i Fabre, ",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,"Bezzola, Tobia.",2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
90541,Musée Picasso ,2160,Pablo Picasso (,Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
92844,<em>Œuvres de B,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Exposition ,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Pont-Aven: ,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Distel, Anne. <",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
